Date,Ten_Year_Treasury
1986-10-01,0.07429999999999999
1986-09-01,0.0745
1986-08-01,0.0717
1986-07-01,0.073
1986-06-01,0.078
1986-05-01,0.0771
1986-04-01,0.073
1986-03-01,0.07780000000000001
1986-02-01,0.087
1986-01-01,0.0919
1985-12-01,0.0926
1985-11-01,0.0978
1985-10-01,0.1024
1985-09-01,0.10369999999999999
1985-08-01,0.1033
1985-07-01,0.10310000000000001
1985-06-01,0.1016
1985-05-01,0.1085
1985-04-01,0.1143
1985-03-01,0.1186
1985-02-01,0.1151
1985-01-01,0.11380000000000001
1984-12-01,0.115
1984-11-01,0.1157
1984-10-01,0.1216
1984-09-01,0.1252
1984-08-01,0.1272
1984-07-01,0.1336
1984-06-01,0.1356
1984-05-01,0.1341
1984-04-01,0.1263
1984-03-01,0.1232
1984-02-01,0.1184
1984-01-01,0.1167
1983-12-01,0.1183
1983-11-01,0.11689999999999999
1983-10-01,0.11539999999999999
1983-09-01,0.1165
1983-08-01,0.1185
1983-07-01,0.11380000000000001
1983-06-01,0.1085
1983-05-01,0.1038
1983-04-01,0.10400000000000001
1983-03-01,0.1051
1983-02-01,0.1072
1983-01-01,0.10460000000000001
1982-12-01,0.1054
1982-11-01,0.10550000000000001
1982-10-01,0.1091
1982-09-01,0.1234
1982-08-01,0.1306
1982-07-01,0.13949999999999999
1982-06-01,0.14300000000000002
1982-05-01,0.1362
1982-04-01,0.1387
1982-03-01,0.1386
1982-02-01,0.14429999999999998
1982-01-01,0.1459
1981-12-01,0.13720000000000002
1981-11-01,0.13390000000000002
1981-10-01,0.1515
1981-09-01,0.1532
1981-08-01,0.1494
1981-07-01,0.14279999999999998
1981-06-01,0.13470000000000001
1981-05-01,0.141
1981-04-01,0.1368
1981-03-01,0.13119999999999998
1981-02-01,0.1319
1981-01-01,0.1257
1980-12-01,0.1284
1980-11-01,0.1268
1980-10-01,0.1175
1980-09-01,0.1151
1980-08-01,0.111
1980-07-01,0.1025
1980-06-01,0.0978
1980-05-01,0.1018
1980-04-01,0.11470000000000001
1980-03-01,0.1275
1980-02-01,0.1241
1980-01-01,0.10800000000000001
1979-12-01,0.1039
1979-11-01,0.1065
1979-10-01,0.10300000000000001
1979-09-01,0.0933
1979-08-01,0.09029999999999999
1979-07-01,0.0895
1979-06-01,0.0891
1979-05-01,0.0925
1979-04-01,0.09179999999999999
1979-03-01,0.09119999999999999
1979-02-01,0.091
1979-01-01,0.091
1978-12-01,0.0901
1978-11-01,0.08810000000000001
1978-10-01,0.0864
1978-09-01,0.0842
1978-08-01,0.08410000000000001
1978-07-01,0.0864
1978-06-01,0.08460000000000001
1978-05-01,0.08349999999999999
1978-04-01,0.0815
1978-03-01,0.08039999999999999
1978-02-01,0.0803
1978-01-01,0.0796
1977-12-01,0.07690000000000001
1977-11-01,0.0758
