Date,Nominal_US_GDP_Quarterly
1953-11-01,385.2676237223549
1953-12-01,385.1988228701255
1954-01-01,385.345
1954-02-01,385.41436602701776
1954-03-01,385.5659541214521
1954-04-01,386.121
1954-05-01,387.2586815439911
1954-06-01,388.972397382029
1954-07-01,390.996
1954-08-01,393.3744333422925
1954-09-01,396.24143866652724
1954-10-01,399.734
1954-11-01,404.1796390598809
1954-12-01,408.7613602013535
1955-01-01,413.073
1955-02-01,416.44013804188035
1955-03-01,418.9228622103499
1955-04-01,421.532
1955-05-01,424.2847599116328
1955-06-01,427.3030756837097
1955-07-01,430.221
1955-08-01,433.0429778017183
1955-09-01,435.4308873322458
1955-10-01,437.092
1955-11-01,438.04409264027805
1955-12-01,438.7009128862092
1956-01-01,439.746
1956-02-01,441.609702505379
1956-03-01,443.77693734487616
1956-04-01,446.01
1956-05-01,447.7256497019717
1956-06-01,449.33621087688203
1956-07-01,451.191
1956-08-01,453.7759589050419
1956-09-01,456.96733816033
1956-10-01,460.463
1956-11-01,464.2372852061982
1956-12-01,467.49025261298596
1957-01-01,469.779
1957-02-01,470.6344509849758
1957-03-01,470.9643957249882
1957-04-01,472.025
1957-05-01,474.49501087984714
1957-06-01,477.52245828369223
1957-07-01,479.49
1957-08-01,479.4222176414241
1957-09-01,477.59786493241944
1957-10-01,474.864
1957-11-01,471.75896339576906
1957-12-01,469.14677100277106
1958-01-01,467.54
1958-02-01,467.5912438716965
1958-03-01,469.02829797717465
1958-04-01,471.978
1958-05-01,475.9694004113111
1958-06-01,480.84552609386776
1958-07-01,485.841
1958-08-01,490.8694298064341
1958-09-01,495.5401596343227
1958-10-01,499.555
1958-11-01,503.1354649673569
1958-12-01,506.46842153796024
1959-01-01,510.33
1959-02-01,514.9121782385047
1959-03-01,519.0415496795891
1959-04-01,522.653
1959-05-01,524.5058083549758
1959-06-01,525.1008112049823
1959-07-01,525.034
1959-08-01,525.0084307420046
1959-09-01,525.9238107331338
1959-10-01,528.6
1959-11-01,533.593985273383
1959-12-01,538.9125700722718
1960-01-01,542.648
1960-02-01,543.0753536127062
1960-03-01,541.8636606081176
1960-04-01,541.08
1960-05-01,542.341244471641
1960-06-01,544.5155393255021
1960-07-01,545.604
1960-08-01,544.3745488893647
1960-09-01,541.9534932530773
1960-10-01,540.197
1960-11-01,540.347676002568
1960-12-01,542.1371286627523
1961-01-01,545.018
1961-02-01,548.3730601100112
1961-03-01,551.6671570290022
1961-04-01,555.545
1961-05-01,559.4664956997302
1961-06-01,563.619529031911
1961-07-01,567.664
1961-08-01,571.8375095348468
1961-09-01,576.1445970749468
1961-10-01,580.612
1961-11-01,585.566543577517
1961-12-01,590.1618228510663
1962-01-01,594.013
1962-02-01,596.5305220304426
1962-03-01,598.2276772536416
1962-04-01,600.366
1962-05-01,603.2867506866293
1962-06-01,606.5506077325048
1962-07-01,609.027
1962-08-01,610.2768490526046
1962-09-01,610.9981372836301
1962-10-01,612.28
1962-11-01,614.9789397783826
1962-12-01,618.346103608922
1963-01-01,621.672
1963-02-01,624.2250801267046
1963-03-01,626.4422311411287
1963-04-01,629.752
1963-05-01,634.4006350436869
1963-06-01,639.8192641487134
1963-07-01,644.444
1963-08-01,647.759556188367
1963-09-01,650.5159392222116
1963-10-01,653.938
1963-11-01,659.1106827454533
1963-12-01,664.7574813818303
1964-01-01,669.822
1964-02-01,673.1375390453636
