Date,SP500_Growth_Based_On_Earnings
1929-06-01,443.69454181890325
1929-07-01,445.66022736656805
1929-08-01,447.55214546542425
1929-09-01,449.4012288626537
1929-10-01,451.5039858758609
1929-11-01,454.4116622403371
1929-12-01,457.2609954623106
1930-01-01,459.9945021305453
1930-02-01,462.4917578424375
1930-03-01,464.82616001204406
1930-04-01,466.9521486692524
1930-05-01,469.13457598589684
1930-06-01,471.478373827553
1930-07-01,473.7854709787937
1930-08-01,476.03260373813157
1930-09-01,478.1897208476935
1930-10-01,480.5845011003361
1930-11-01,483.04903700341475
1930-12-01,485.5664908131052
1931-01-01,487.9467187092479
1931-02-01,490.09815926793067
1931-03-01,492.1484360386299
1931-04-01,494.34631222672664
1931-05-01,496.70303568318513
1931-06-01,499.06020650552375
1931-07-01,501.2653152299207
1931-08-01,503.45922854937936
1931-09-01,505.9417691240804
1931-10-01,508.69744324784983
1931-11-01,511.3093627551811
1931-12-01,514.3880559316935
1932-01-01,517.4520781852775
1932-02-01,520.4738726152312
1932-03-01,523.4144029689896
1932-04-01,527.1875748473706
1932-05-01,531.3876033276714
1932-06-01,536.12367822364
1932-07-01,540.5210181040832
1932-08-01,543.3718673556871
1932-09-01,545.8930805486887
1932-10-01,548.7256515353464
1932-11-01,551.4936380745683
1932-12-01,554.2571860705323
1933-01-01,556.9441028151053
1933-02-01,560.0259094929224
1933-03-01,563.1538468783834
1933-04-01,566.0154009783753
1933-05-01,568.2625639169904
1933-06-01,570.1993824715814
1933-07-01,572.0081611242638
1933-08-01,573.9294568421338
1933-09-01,575.884790232847
1933-10-01,578.0711409930324
1933-11-01,580.226514374811
1933-12-01,582.3603276815734
1934-01-01,584.4054194349151
1934-02-01,586.334150192126
1934-03-01,588.3931969339161
1934-04-01,590.4439190757463
1934-05-01,592.7550350890378
1934-06-01,595.0654304549913
1934-07-01,597.5227538381057
1934-08-01,600.1121226794912
1934-09-01,602.800797064256
1934-10-01,605.5044246076012
1934-11-01,608.1685588235797
1934-12-01,610.8500780423786
1935-01-01,613.98264254516
1935-02-01,617.6849016053696
1935-03-01,622.1531083588807
1935-04-01,626.4916934938799
1935-05-01,630.6850783231563
1935-06-01,634.8930118588058
1935-07-01,638.8354672230557
1935-08-01,642.4718257568846
1935-09-01,645.975707878159
1935-10-01,649.40882707394
1935-11-01,652.5625218441127
1935-12-01,655.7315317598282
1936-01-01,658.7894105686318
1936-02-01,661.7330629840412
1936-03-01,664.6647175249948
1936-04-01,667.7164379911334
1936-05-01,671.0724715556245
1936-06-01,674.4231429734176
1936-07-01,677.6736882933203
1936-08-01,680.9474742271045
1936-09-01,684.2717637907987
1936-10-01,687.535796245439
1936-11-01,690.8135222000798
1936-12-01,694.2545140420805
1937-01-01,697.7085165995038
1937-02-01,701.1755634917693
1937-03-01,704.7603056364102
1937-04-01,708.6626329101445
1937-05-01,712.842053958211
1937-06-01,717.2850984231712
1937-07-01,721.5668862599858
1937-08-01,725.8897168750109
1937-09-01,731.0247601466224
1937-10-01,736.9277378609846
1937-11-01,743.2849474698612
1937-12-01,749.6378102687489
1938-01-01,755.5873166994533
1938-02-01,761.4228690372619
1938-03-01,767.3920041034054
1938-04-01,773.232125900235
1938-05-01,778.6333002918266
1938-06-01,783.5266719628411
1938-07-01,787.3674889822668
1938-08-01,790.9392885149391
1938-09-01,794.4174736007567
1938-10-01,797.5941269660827
1938-11-01,800.8143874916241
1938-12-01,804.1797194276285
1939-01-01,807.73677763458
1939-02-01,811.4638760917348
1939-03-01,815.3390617464232
1939-04-01,819.899123613014
1939-05-01,824.4209586208069
1939-06-01,828.988893896853
1939-07-01,833.5699554236925
1939-08-01,838.3441246987422
1939-09-01,842.7741824280739
1939-10-01,847.3465249976707
1939-11-01,852.1962647240767
1939-12-01,857.3648495416658
1940-01-01,862.7652328217216
1940-02-01,868.4130806406645
1940-03-01,874.3110233236356
1940-04-01,880.287992309988
1940-05-01,887.3825119127442
1940-06-01,895.3339681126791
1940-07-01,903.2043440630367
1940-08-01,911.0774642170032
1940-09-01,918.7932286497353
1940-10-01,926.4269377611489
1940-11-01,933.8788918937192
1940-12-01,941.6379388519589
1941-01-01,949.4692590353585
1941-02-01,957.9225109854596
1941-03-01,966.4237757261897
1941-04-01,975.3622124236201
1941-05-01,984.6726573684809
1941-06-01,993.8409316456548
1941-07-01,1002.9121340155493
1941-08-01,1012.3771409428383
1941-09-01,1022.1756033987311
1941-10-01,1032.4014497712674
1941-11-01,1043.1422055949383
1941-12-01,1054.6559164734697
1942-01-01,1065.6832681722722
1942-02-01,1076.7702767882965
1942-03-01,1088.1719103841067
1942-04-01,1099.9639770332626
1942-05-01,1111.523077254293
1942-06-01,1122.4203623254134
1942-07-01,1132.8828936670002
1942-08-01,1143.3609078518596
1942-09-01,1153.6837762867808
1942-10-01,1163.6879713638425
1942-11-01,1173.9280978277975
1942-12-01,1184.5154724474564
1943-01-01,1194.7232927891268
1943-02-01,1204.5612645676933
1943-03-01,1214.2598254740356
1943-04-01,1223.8149075127044
1943-05-01,1233.1627146278336
1943-06-01,1242.5048564053172
1943-07-01,1251.6678715705482
1943-08-01,1261.3258026783456
1943-09-01,1270.795215611366
1943-10-01,1280.0038765940571
1943-11-01,1289.2954262209014
1943-12-01,1298.094876304309
1944-01-01,1306.6462259505827
1944-02-01,1315.281212905054
1944-03-01,1323.7060221089039
1944-04-01,1332.3037489347607
1944-05-01,1340.7789636226407
1944-06-01,1348.8930943635185
1944-07-01,1356.7924448809904
1944-08-01,1364.7942875613453
1944-09-01,1372.9180630825438
1944-10-01,1380.9807719331577
1944-11-01,1389.2422027295993
1944-12-01,1397.4586813357596
